iter	Passed	Remaining
0	47	47535
1	48	24147
2	49	16333
3	49	12384
4	50	10010
5	50	8422
6	51	7289
7	52	6475
8	52	5812
9	54	5409
10	55	4966
11	55	4592
12	56	4273
13	56	4003
14	57	3766
15	57	3558
16	58	3385
17	59	3223
18	59	3081
19	60	2951
20	60	2835
21	61	2728
22	61	2629
23	62	2543
24	63	2460
25	63	2382
26	64	2310
27	64	2245
28	65	2183
29	65	2126
30	66	2071
31	66	2021
32	67	1974
33	67	1929
34	68	1890
35	69	1850
36	69	1812
37	70	1776
38	70	1743
39	71	1711
40	71	1682
41	72	1652
42	73	1625
43	73	1598
44	74	1572
45	74	1547
46	75	1525
47	75	1502
48	76	1481
49	76	1460
50	77	1440
51	78	1422
52	78	1403
53	79	1384
54	79	1367
55	80	1350
56	80	1335
57	81	1319
58	81	1304
59	82	1289
60	82	1276
61	84	1275
62	84	1261
63	85	1248
64	85	1235
65	86	1223
66	86	1210
67	87	1198
68	88	1187
69	88	1176
70	89	1165
71	89	1155
72	90	1145
73	90	1135
74	91	1125
75	91	1115
76	92	1106
77	92	1097
78	93	1088
79	93	1079
80	94	1070
81	94	1062
82	95	1051
83	95	1043
84	96	1038
85	97	1031
86	97	1024
87	98	1017
88	98	1008
89	99	1002
90	99	994
91	100	988
92	100	981
93	101	974
94	102	974
95	103	971
96	103	966
97	104	960
98	104	954
99	105	948
100	105	943
101	106	937
102	107	931
103	107	926
104	108	921
105	108	917
106	109	912
107	109	907
108	110	902
109	110	897
110	111	893
111	112	888
112	112	883
113	113	879
114	113	874
115	114	870
116	114	864
117	115	860
118	115	856
119	116	852
120	116	848
121	117	843
122	117	839
123	118	835
124	118	831
125	119	827
126	119	823
127	120	820
128	121	818
129	121	814
130	122	811
131	122	808
132	123	804
133	124	801
134	124	798
135	125	794
136	125	791
137	126	788
138	126	784
139	127	781
140	127	778
141	128	774
142	128	771
143	129	768
144	129	765
145	130	761
146	130	758
147	131	755
148	131	752
149	132	749
150	132	747
151	133	744
152	134	743
153	134	740
154	135	737
155	135	735
156	136	732
157	136	729
158	137	727
159	138	724
160	138	720
161	138	718
162	139	716
163	140	714
164	140	711
165	141	709
166	141	707
167	142	705
168	142	702
169	143	700
170	143	698
171	144	696
172	145	693
173	146	693
174	146	691
175	147	689
176	147	686
177	148	684
178	148	682
179	149	680
180	149	678
181	150	676
182	150	673
183	151	672
184	152	670
185	152	668
186	153	668
187	154	666
188	154	664
189	155	664
190	156	662
191	156	660
192	157	658
193	158	656
194	158	654
195	159	652
196	159	651
197	160	649
198	160	647
199	161	645
200	161	643
201	162	641
202	162	639
203	163	638
204	164	639
205	165	638
206	166	637
207	166	635
208	167	633
209	168	632
210	168	630
211	169	628
212	169	626
213	170	624
214	170	623
215	171	621
216	171	620
217	172	618
218	173	617
219	173	615
220	174	613
221	174	612
222	175	610
223	175	608
224	176	607
225	176	605
226	177	603
227	177	602
228	178	600
229	179	599
230	179	597
231	180	596
232	180	594
233	181	593
234	181	591
235	182	589
236	182	588
237	183	586
238	183	585
239	184	583
240	184	582
241	185	580
242	185	579
243	186	578
244	187	576
245	187	575
246	188	573
247	188	572
248	189	571
249	189	569
250	190	568
251	191	567
252	191	566
253	192	565
254	192	563
255	193	562
256	194	561
257	194	559
258	195	558
259	195	557
260	196	555
261	196	554
262	197	553
263	197	551
264	198	550
265	198	548
266	199	547
267	200	546
268	200	544
269	201	543
270	201	542
271	202	540
272	202	539
273	203	538
274	203	537
275	204	535
276	204	534
277	205	533
278	205	532
279	206	531
280	207	529
281	207	528
282	208	527
283	208	526
284	209	524
285	209	523
286	210	522
287	210	521
288	211	519
289	211	518
290	212	517
291	212	516
292	213	515
293	214	513
294	214	512
295	215	511
296	215	510
297	216	509
298	217	509
299	217	508
300	218	507
301	218	505
302	219	504
303	220	504
304	221	504
305	222	503
306	222	502
307	223	501
308	223	500
309	224	498
310	224	497
311	225	496
312	225	495
313	226	494
314	227	493
315	227	492
316	228	491
317	228	490
318	229	489
319	229	488
320	230	487
321	230	486
322	231	485
323	231	483
324	232	482
325	233	481
326	233	480
327	234	479
328	234	478
329	235	477
330	235	476
331	236	475
332	236	474
333	237	473
334	238	472
335	238	471
336	239	470
337	239	469
338	240	468
339	240	467
340	241	466
341	241	465
342	242	464
343	242	463
344	243	462
345	243	461
346	244	460
347	244	458
348	245	457
349	246	456
350	246	455
351	247	454
352	247	453
353	248	452
354	248	451
355	249	451
356	250	450
357	250	449
358	251	448
359	251	447
360	252	446
361	252	445
362	253	445
363	254	444
364	254	443
365	255	442
366	255	441
367	256	440
368	256	439
369	257	438
370	258	437
371	258	436
372	259	435
373	259	434
374	260	433
375	260	432
376	261	431
377	261	430
378	262	429
379	262	428
380	263	427
381	263	426
382	264	426
383	265	425
384	265	424
385	266	423
386	266	422
387	267	421
388	267	420
389	268	419
390	268	418
391	269	417
392	269	416
393	270	415
394	271	415
395	271	414
396	272	413
397	272	412
398	273	411
399	273	410
400	274	409
401	274	408
402	275	407
403	275	406
404	276	405
405	277	405
406	277	404
407	278	403
408	278	402
409	279	401
410	279	400
411	280	399
412	280	399
413	281	398
414	281	397
415	282	396
416	282	395
417	283	395
418	284	394
419	284	393
420	285	392
421	286	391
422	286	391
423	287	390
424	288	389
425	288	388
426	289	387
427	289	387
428	290	386
429	290	385
430	291	385
431	292	384
432	292	383
433	293	382
434	293	381
435	294	380
436	294	379
437	295	379
438	295	378
439	296	377
440	296	376
441	297	375
442	297	374
443	298	373
444	299	372
445	299	372
446	300	371
447	300	370
448	301	369
449	301	368
450	302	367
451	302	367
452	303	366
453	303	365
454	304	364
455	304	363
456	305	362
457	305	362
458	306	361
459	306	360
460	307	359
461	308	358
462	308	357
463	309	357
464	309	356
465	310	355
466	310	354
467	311	353
468	311	353
469	312	352
470	313	351
471	313	350
472	314	350
473	315	349
474	315	349
475	316	348
476	316	347
477	317	346
478	317	345
479	318	344
480	318	344
481	319	343
482	320	342
483	320	341
484	322	341
485	325	344
486	325	343
487	326	342
488	327	341
489	327	341
490	328	340
491	328	339
492	329	338
493	329	337
494	330	336
495	330	336
496	331	335
497	331	334
498	332	333
499	332	332
500	333	332
501	333	331
502	334	330
503	335	329
504	335	328
505	336	328
506	336	327
507	337	326
508	337	325
509	338	325
510	338	324
511	339	323
512	340	322
513	340	322
514	341	321
515	341	320
516	342	320
517	343	319
518	343	318
519	344	317
520	344	317
521	345	316
522	345	315
523	346	314
524	347	313
525	347	313
526	348	312
527	348	311
528	349	310
529	349	310
530	350	309
531	350	308
532	351	307
533	351	307
534	353	307
535	354	306
536	355	306
537	355	305
538	356	304
539	356	303
540	357	303
541	357	302
542	358	301
543	358	300
544	359	299
545	359	299
546	360	298
547	360	297
548	361	296
549	361	296
550	362	295
551	362	294
552	363	293
553	363	293
554	364	292
555	365	291
556	365	290
557	366	289
558	366	289
559	367	288
560	367	287
561	368	286
562	368	286
563	369	285
564	369	284
565	370	284
566	370	283
567	371	282
568	372	281
569	372	281
570	373	280
571	373	279
572	374	279
573	375	278
574	375	277
575	376	277
576	376	276
577	377	275
578	377	274
579	378	274
580	378	273
581	379	272
582	380	271
583	380	271
584	381	270
585	381	269
586	382	268
587	382	268
588	383	267
589	383	266
590	384	266
591	385	265
592	386	264
593	386	264
594	387	263
595	387	262
596	388	262
597	388	261
598	389	260
599	389	259
600	390	259
601	390	258
602	391	257
603	391	256
604	392	256
605	392	255
606	393	254
607	394	254
608	394	253
609	395	252
610	395	251
611	396	251
612	396	250
613	397	249
614	397	248
615	398	248
616	398	247
617	399	246
618	399	246
